rank,full_name,url,description,stars,star_delta,forks,fork_delta,open_issues,language,topics,created_at,updated_at,pushed_at,archived
29,aaif-goose/goose,https://github.com/aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",46174,19,4784,2,256,Rust,"acp,ai,ai-agents,mcp",2024-08-23T19:03:36Z,2026-06-01T23:03:51Z,2026-06-01T21:26:17Z,False
30,zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,"Open-source super AI assistant & Agent Harness. Plans tasks, runs tools and skills, autonomously grows with memory and knowledge. Multi-model, multi-channel. Lightweight, extensible, one-line install.",45007,4,10160,0,10,Python,"ai,ai-agent,ai-agents,chatgpt-on-wechat,claude,claude-code,codex,cowagent,deepseek,harness,llm,mcp,multi-agent,openai,openclaw,skills",2022-08-07T08:33:41Z,2026-06-01T22:21:35Z,2026-06-01T08:59:55Z,False
31,HKUDS/nanobot,https://github.com/HKUDS/nanobot,"Lightweight, open-source AI agent for your tools, chats, and workflows.",43482,15,7689,3,905,Python,"ai,ai-agent,ai-agents,anthropic,chatgpt,claude,claude-code,codex,codex-cli,llm,nanobot,openai,openclaw",2026-02-01T07:16:15Z,2026-06-01T22:08:44Z,2026-06-01T17:01:09Z,False
32,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,42516,24,2729,5,83,TypeScript,"browser,chrome,chrome-devtools,debugging,devtools,mcp,mcp-server,puppeteer",2025-09-11T10:39:55Z,2026-06-01T22:28:25Z,2026-06-01T17:49:04Z,False
33,danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active.",37849,67,7802,10,477,TypeScript,"ai,anthropic,artifacts,aws,azure,chatgpt,chatgpt-clone,claude,clone,deepseek,gemini,google,gpt-5,librechat,mcp,o1,openai,responses-api,vision,webui",2023-02-12T01:06:52Z,2026-06-01T23:03:21Z,2026-06-01T23:09:33Z,False
34,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",36657,332,2282,27,238,TypeScript,,2026-01-18T21:45:37Z,2026-06-01T23:07:56Z,2026-06-01T00:22:31Z,False
35,wshobson/agents,https://github.com/wshobson/agents,"Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, and Gemini CLI",36239,16,3928,0,6,Python,"agent-skills,agentic-ai,agents,ai-agents,anthropic,automation,claude-code,claude-code-plugins,codex-cli,copilot,cursor,cursor-rules,developer-tools,gemini-cli,mcp,multi-agent,opencode,orchestration,prompt-engineering,workflows",2025-07-24T23:28:14Z,2026-06-01T23:04:23Z,2026-06-01T02:18:07Z,False
36,bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,35868,22,3610,2,402,TypeScript,"agent,agent-tars,browser-use,computer-use,cowork,gui-agent,gui-operator,mcp,mcp-server,multimodal,tars,ui-tars,vision,vlm",2025-01-19T09:04:43Z,2026-06-01T22:58:32Z,2026-05-18T02:55:49Z,False
37,router-for-me/CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,"Wrap Gemini CLI, Antigravity, ChatGPT Codex, Claude Code, Grok Build as an OpenAI/Gemini/Claude/Codex compatible API service, allowing you to enjoy the free Gemini 3.1 Pro, GPT 5.5, Grok 4.3, Claude model through API",35675,37,5930,11,392,Go,"antigravity,claude-code,cluade,codex,gemini,openai",2025-07-01T19:43:27Z,2026-06-01T22:55:23Z,2026-06-01T18:53:04Z,False
38,Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,Teams-first Multi-agent orchestration for Claude Code,35503,20,3243,1,0,TypeScript,"agentic-coding,ai-agents,automation,claude,claude-code,multi-agent-systems,oh-my-opencode,opencode,parallel-execution,vibe-coding",2026-01-09T03:36:29Z,2026-06-01T23:01:03Z,2026-06-01T08:41:57Z,False
39,patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",35462,4,5883,2,114,Jupyter Notebook,"agents,ai,llms,machine-learning,mcp,rag",2024-10-21T10:43:24Z,2026-06-01T22:04:57Z,2026-05-21T10:45:44Z,False
40,luongnv89/claude-howto,https://github.com/luongnv89/claude-howto,"A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value.",34773,20,4235,2,31,Python,"claude-code,guide,tutorial",2025-11-07T22:59:34Z,2026-06-01T21:21:48Z,2026-05-31T21:39:03Z,False
41,musistudio/claude-code-router,https://github.com/musistudio/claude-code-router,"Use Claude Code as the foundation for coding infrastructure, allowing you to decide how to interact with the model while enjoying updates from Anthropic.",34620,5,2823,-1,943,TypeScript,,2025-02-25T02:17:18Z,2026-06-01T22:58:24Z,2026-03-04T05:48:17Z,False
42,microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Playwright MCP server,33314,15,2735,2,9,TypeScript,"mcp,playwright",2025-03-21T17:48:36Z,2026-06-01T22:26:23Z,2026-05-28T01:32:25Z,False
43,Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,"Use claude-code for free in the terminal, VSCode extension or discord like OpenClaw (voice supported)",31588,128,4783,16,225,Python,,2026-01-28T19:02:30Z,2026-06-01T23:06:05Z,2026-06-01T00:18:04Z,False
44,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",31501,55,5204,6,18,JavaScript,"claude,codex,marketing",2026-01-15T19:45:23Z,2026-06-01T23:08:28Z,2026-05-29T22:10:37Z,False
45,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop ",30927,413,2294,30,22,Shell,"agent,ai,claude,claude-code,codex,coding,design,frontend,lowcode,nocode,skill,skills,vibecoding",2026-02-19T21:44:05Z,2026-06-01T23:06:14Z,2026-05-26T19:31:39Z,False
46,github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub's official MCP Server,30344,9,4305,5,266,Go,"github,mcp,mcp-server",2025-03-04T16:42:04Z,2026-06-01T22:50:46Z,2026-06-01T20:26:10Z,False
47,nanocoai/nanoclaw,https://github.com/nanocoai/nanoclaw,"A lightweight alternative to OpenClaw that runs in containers for security. Connects to WhatsApp, Telegram, Slack, Discord, Gmail and other messaging apps,, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK",29616,22,12901,1,716,TypeScript,"ai-agents,ai-assistant,claude-code,claude-skills,openclaw",2026-01-31T15:47:22Z,2026-06-01T21:49:46Z,2026-05-31T20:18:00Z,False
48,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",29056,34,3100,7,720,Python,"claude-code,mcp,skills",2025-11-20T18:36:20Z,2026-06-01T23:08:30Z,2026-06-01T23:05:51Z,False
49,ComposioHQ/composio,https://github.com/ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",28572,10,4598,-1,121,TypeScript,"agentic-ai,agents,ai,ai-agents,aiagents,developer-tools,function-calling,gpt-4,javascript,js,llm,llmops,mcp,python,remote-mcp-server,sse,typescript",2024-02-23T13:58:27Z,2026-06-01T23:07:33Z,2026-06-01T21:22:46Z,False
50,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,CLI tool for configuring and monitoring Claude Code,27715,10,2861,3,162,Python,"anthropic,anthropic-claude,claude,claude-code",2025-07-04T01:26:26Z,2026-06-01T22:40:52Z,2026-06-01T04:36:03Z,False
